term_str,n,max_pos,dfidf,tfidf
0,3,CD,6.643856189774724,0.00036638912811257676
1,12,CD,15.176681067160704,0.0006029282217422925
10,6,CD,15.176681067160704,0.00022181894625367265
1000,1,CD,6.643856189774724,0.0001221297093708589
10000000,1,CD,6.643856189774724,0.00039081506998674847
10th,1,JJ,6.643856189774724,0.0004678771964630088
11,3,CD,11.287712379549449,9.413283331280857e-05
11th,2,CD,11.287712379549449,0.0009885804864155712
12,5,CD,15.176681067160704,0.00023180305136986698
1255,1,CD,6.643856189774724,5.2437696841158045e-05
12th,3,CD,15.176681067160704,0.0009515110683894926
13,3,CD,11.287712379549449,9.413283331280857e-05
1348,1,CD,6.643856189774724,5.936254637039604e-06
13th,1,CD,6.643856189774724,0.0005033224386192973
14,4,CD,15.176681067160704,0.00021872985618846323
140000000,1,CD,6.643856189774724,0.00039081506998674847
14th,1,CD,6.643856189774724,0.000754983657928946
15,3,CD,15.176681067160704,0.0002142097581818035
15th,1,CD,6.643856189774724,0.000754983657928946
16,5,CD,18.575424759098897,0.0002861500088637345
17,14,CD,35.028670282511705,0.005445530762506367
18,8,CD,26.855508874019844,0.0008965756080609115
1822,1,CD,6.643856189774724,5.936254637039604e-06
1884,2,CD,6.643856189774724,0.00010487539368231609
1893,1,CD,6.643856189774724,0.0002711778036642745
1894,1,CD,6.643856189774724,0.00039081506998674847
18th,2,CD,11.287712379549449,0.0008267309172753035
19,4,CD,15.176681067160704,0.00014196269228281913
1999,1,CD,6.643856189774724,0.0002229481942877424
1999th,2,CD,11.287712379549449,0.00023393618432267325
19th,2,CD,11.287712379549449,0.000432607622144937
2,20,CD,21.609640474436812,0.0013154551808619353
20,4,CD,15.176681067160704,0.00014196269228281913
2000,1,CD,6.643856189774724,0.0002229481942877424
2073,1,CD,6.643856189774724,5.936254637039604e-06
2090,1,CD,6.643856189774724,5.936254637039604e-06
2092,2,CD,6.643856189774724,1.1872509274079208e-05
2094,1,CD,6.643856189774724,5.936254637039604e-06
2096,1,CD,6.643856189774724,5.936254637039604e-06
2097,1,CD,6.643856189774724,5.936254637039604e-06
2098,1,CD,6.643856189774724,5.936254637039604e-06
21,4,CD,15.176681067160704,0.00014196269228281913
2100,1,CD,6.643856189774724,5.936254637039604e-06
22,3,CD,15.176681067160704,0.0001374425942761594
23,2,NN,6.643856189774724,1.1872509274079208e-05
24,1,JJ,6.643856189774724,5.936254637039604e-06
25,1,NN,6.643856189774724,5.936254637039604e-06
26,1,JJ,6.643856189774724,5.936254637039604e-06
26th,1,CD,6.643856189774724,0.0001721206266781017
27th,1,CD,6.643856189774724,0.00042317555348883595
28th,1,CD,6.643856189774724,0.0011655888052236358
2d,2,CD,11.287712379549449,0.0003552456016592036
2nd,1,CD,6.643856189774724,5.936254637039604e-06
3,12,CD,18.575424759098897,0.0009327649318605512
30,1,CD,6.643856189774724,5.2437696841158045e-05
30th,1,CD,6.643856189774724,5.936254637039604e-06
31st,1,CD,6.643856189774724,0.0005033224386192973
32,3,CD,6.643856189774724,0.0006688445828632272
33,5,CD,11.287712379549449,0.0008613119456611891
35000000,1,CD,6.643856189774724,0.00039081506998674847
4,10,CD,15.176681067160704,0.0005937964233899645
5,4,CD,11.287712379549449,0.00013867787032760515
55,1,CD,6.643856189774724,0.0001221297093708589
58,1,CD,6.643856189774724,5.2437696841158045e-05
59,1,CD,6.643856189774724,5.2437696841158045e-05
5th,2,CD,11.287712379549449,0.000573778753788528
6,5,CD,15.176681067160704,0.0002172988482470129
60,3,CD,6.643856189774724,0.00015731309052347412
6457,3,CD,6.643856189774724,0.0006688445828632272
6eltons,1,JJ,6.643856189774724,5.936254637039604e-06
7,5,CD,15.176681067160704,0.00025865798317389
7th,4,CD,18.575424759098897,0.004571573776479638
8,7,CD,18.575424759098897,0.0004081673895406755
8th,2,CD,11.287712379549449,0.0008007782601054277
9,6,CD,18.575424759098897,0.0003228023860521696
9th,1,CD,6.643856189774724,0.0001721206266781017
a,8379,DT,1.4354573998164017,0.005458457398731306
ab,7,NNP,6.643856189774724,0.0003670638778881063
aback,1,NN,6.643856189774724,0.0006388323259398773
abaft,1,VBP,6.643856189774724,5.936254637039604e-06
abandon,2,VB,11.287712379549449,0.0005249961855425596
abandoned,22,VBN,36.70672426864282,0.002705922427203605
abandoning,3,VBG,15.176681067160704,0.0005156314235878339
abandonment,4,NN,11.287712379549449,0.000505898381308318
abart,1,NN,6.643856189774724,0.0006710965848257299
abatement,1,NN,6.643856189774724,5.936254637039604e-06
abbey,4,NNP,15.176681067160704,0.0006734811667856003
abbott,1,NNP,6.643856189774724,5.2437696841158045e-05
abbreviated,2,VBN,11.287712379549449,0.00043377649837857065
abdicate,1,VBP,6.643856189774724,5.936254637039604e-06
abdicated,3,VBD,6.643856189774724,1.780876391111881e-05
abdication,7,NN,6.643856189774724,4.155378245927723e-05
abdications,1,NNS,6.643856189774724,5.936254637039604e-06
aberrations,1,NN,6.643856189774724,5.936254637039604e-06
abhor,5,VBP,15.176681067160704,0.0018664848690029508
abhorred,12,JJ,29.1508495181978,0.0027288159020802307
abhorrence,8,NN,24.353362134321408,0.001322620867460963
abhorrent,1,JJ,6.643856189774724,0.00046460532795627443
abhorring,1,VBG,6.643856189774724,5.936254637039604e-06
abiding,2,VBG,6.643856189774724,0.0010715897080281814
abilities,1,NN,6.643856189774724,5.936254637039604e-06
ability,5,NN,21.609640474436812,0.00077274656617416
abject,7,JJ,21.609640474436812,0.0031544476395772188
abjection,1,NN,6.643856189774724,0.00015523028480782065
