term_str,n,tfidf_x,dfidf,syu_sentiment,weighted_sentiment
abandon,1.0,0.03347957924122524,9.794259893718833,-0.75,-0.02510968443091893
abandoned,1.631578947368421,0.020195526941163854,33.49898374861652,-0.5,-0.010097763470581927
abandonment,2.0,0.0252949190654159,11.287712379549449,-0.25,-0.006323729766353975
aberration,1.0,0.022540910337939084,6.807354922057604,-0.8,-0.018032728270351267
abhor,1.6666666666666667,0.06221616230009836,15.176681067160706,-0.5,-0.03110808115004918
abhorred,1.4444444444444444,0.035722839326333994,26.668239007515556,-1.0,-0.035722839326333994
abhorrent,1.0,0.038915415987808205,6.7256055559161645,-0.5,-0.019457707993904103
abilities,1.0,0.017879609407735864,22.664283336840978,0.6,0.010727765644641517
ability,1.411764705882353,0.017765552523058017,33.65133594380192,0.5,0.008882776261529009
abject,1.4,0.06308895279154438,21.609640474436812,-1.0,-0.06308895279154438
ablaze,1.0,0.04584312026806717,11.287712379549449,-0.25,-0.011460780067016792
abnormal,1.0,0.03546709639758696,9.794259893718833,-0.5,-0.01773354819879348
aboard,1.6666666666666667,0.03762710399548613,19.14259288237361,0.25,0.009406775998871533
abolish,1.0,0.02648776234263659,6.807354922057604,-0.5,-0.013243881171318295
abominable,1.0,0.08603606691063083,6.7256055559161645,-0.5,-0.043018033455315415
abominably,1.0,0.02246651789457955,6.807354922057604,-1.0,-0.02246651789457955
abortion,1.0,0.01721206266781017,6.643856189774724,-0.8,-0.013769650134248135
abortive,1.0,0.020148878117421696,9.794259893718833,-1.0,-0.020148878117421696
abrupt,1.1111111111111112,0.026240548294136485,20.55176456945619,-0.25,-0.006560137073534121
abruptly,1.5555555555555556,0.018729186500474962,49.59078816773244,-0.25,-0.0046822966251187405
abscess,1.0,0.02163980856137229,11.614709844115207,-0.5,-0.010819904280686144
absence,2.7916666666666665,0.018874156937288434,37.60567097583088,-0.5,-0.009437078468644217
absent,1.9166666666666667,0.017711896567635204,29.618519098080554,-0.6,-0.010627137940581122
absolute,1.3157894736842106,0.02141646979713505,33.59502715049682,-0.25,-0.005354117449283762
absolution,1.0,0.04489092020118057,6.643856189774724,0.1,0.0044890920201180575
absorbed,2.066666666666667,0.02878135746001794,31.96002791668352,0.5,0.01439067873000897
abstinence,1.0,0.011277347953274404,13.084349530884928,-0.25,-0.002819336988318601
abstraction,1.0,0.028900240044847803,9.794259893718833,-0.25,-0.007225060011211951
absurd,1.24,0.013674945402043361,45.57332944873463,-0.75,-0.010256209051532522
absurdity,1.0,0.033624948592734724,13.915391310225385,-0.5,-0.016812474296367362
absurdly,1.0,0.021747055888017577,15.176681067160706,-0.8000000000000002,-0.01739764471041406
abundance,1.25,0.018307902455346556,21.822693990901378,0.6,0.010984741473207934
